epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,80.9743,3.02704,5.41696,4.20772,0,0,0,0,3.37434,5.96954,4.16447,2.55731e-05,2.55731e-05,2.55731e-05
72,82.0201,2.66696,5.71431,4.4355,0,0,0,0,3.37393,5.96882,4.16456,2.5102e-05,2.5102e-05,2.5102e-05
73,82.9834,3.15292,5.3044,4.23537,0,0,0,0,3.37393,5.96882,4.16456,2.46073e-05,2.46073e-05,2.46073e-05
74,83.9895,3.29705,5.4723,4.29236,0,0,0,0,3.37393,5.96882,4.16456,2.40891e-05,2.40891e-05,2.40891e-05
75,85.0196,3.76905,5.43933,4.25212,0,0,0,0,3.37351,5.96794,4.1647,2.35472e-05,2.35472e-05,2.35472e-05
76,85.99,3.21906,5.57926,4.21408,0,0,0,0,3.37351,5.96794,4.1647,2.29819e-05,2.29819e-05,2.29819e-05
77,86.962,3.72048,5.71088,4.25827,0,0,0,0,3.37351,5.96794,4.1647,2.23929e-05,2.23929e-05,2.23929e-05
78,87.9914,3.27838,5.47812,4.23142,0,0,0,0,3.37305,5.96753,4.16474,2.17805e-05,2.17805e-05,2.17805e-05
79,89.1084,3.07529,5.40734,4.22378,0,0,0,0,3.37305,5.96753,4.16474,2.11444e-05,2.11444e-05,2.11444e-05
80,90.1748,3.47123,5.39394,4.2236,0,0,0,0,3.37305,5.96753,4.16474,2.04848e-05,2.04848e-05,2.04848e-05
81,91.2079,3.33184,5.51351,4.18796,0,0,0,0,3.37258,5.96721,4.16481,1.98016e-05,1.98016e-05,1.98016e-05
82,92.1752,3.27865,5.40166,4.20636,0,0,0,0,3.37258,5.96721,4.16481,1.90949e-05,1.90949e-05,1.90949e-05
83,93.2927,3.39572,5.5026,4.21245,0,0,0,0,3.37258,5.96721,4.16481,1.83646e-05,1.83646e-05,1.83646e-05
84,94.3931,3.36486,5.48681,4.21977,0,0,0,0,3.37198,5.9672,4.16485,1.76107e-05,1.76107e-05,1.76107e-05
85,95.4299,3.34841,5.34024,4.19769,0,0,0,0,3.37198,5.9672,4.16485,1.68333e-05,1.68333e-05,1.68333e-05
86,96.5123,3.22638,5.49222,4.27133,0,0,0,0,3.37198,5.9672,4.16485,1.60323e-05,1.60323e-05,1.60323e-05
87,97.631,3.41068,5.36424,4.21362,0,0,0,0,3.37198,5.9672,4.16485,1.52077e-05,1.52077e-05,1.52077e-05
88,98.899,3.47496,5.48872,4.32037,0,0,0,0,3.37123,5.96673,4.16494,1.43596e-05,1.43596e-05,1.43596e-05
89,99.8944,3.12014,5.52231,4.19365,0,0,0,0,3.37123,5.96673,4.16494,1.34879e-05,1.34879e-05,1.34879e-05
90,101.007,3.02846,5.71691,4.36138,0,0,0,0,3.37123,5.96673,4.16494,1.25927e-05,1.25927e-05,1.25927e-05
